Thermal Neutron Capture Gammas — Target Nucleus 59Ni

Target Nucleus=59Ni
Strongest transition  Eγ=1332.54+-0.05 keV    %Iγ=60.52+-1.22
Eγ
(keV)
ΔEγ
(keV)
Iγ/Iγ(max)
(%)
Δ(Iγ/Iγ(max))
 
2554.69		0.10		0.28		0.02	
2572.20		0.40		0.03		0.02	
2578.20		0.50		0.03		0.02	
2586.98		0.12		0.17		0.02	
2593.30		0.40		0.03		0.02	
2601.50		0.40		0.05		0.02	
2607.10		0.22		0.10		0.02	
2613.90		0.30		0.07		0.02	
2620.40		0.08		0.28		0.02	
2627.40		0.30		0.07		0.02	
2633.30		0.30		0.07		0.02	
2673.86		0.04		3.59		0.10	
2684.19		0.12		0.38		0.02	
2687.33		0.04		1.60		0.05	
2707.44		0.08		0.33		0.02	
2721.59		0.25		0.08		0.02	
2745.47		0.06		0.55		0.02	
2749.50		0.40		0.07		0.02	
2770.50		0.30		0.08		0.02	
2779.42		0.14		0.18		0.02	
2785.73		0.14		0.20		0.02	
2797.70		0.50		0.05		0.02	
2822.30		0.30		0.08		0.02	
2831.30		0.60		0.03		0.02	
2846.90		0.50		0.07		0.02	
2874.42		0.19		0.15		0.02	
2883.00		0.40		0.08		0.02	
2907.50		0.30		0.07		0.02	
2938.60		0.40		0.05		0.02	
2985.97		0.07		0.71		0.02	
3002.50		0.40		0.05		0.02	
3022.90		0.20		0.15		0.02	
3027.86		0.16		0.17		0.02	
3040.50		0.40		0.07		0.02	
3046.70		0.70		0.03		0.02	
3058.00		0.70		0.03		0.02	
3062.50		0.50		0.05		0.02	
3101.20		0.60		0.03		0.02	
3123.70		0.05		0.76		0.05	
3129.60		0.30		0.07		0.02	
3160.60		0.06		0.58		0.02	
3167.70		0.40		0.10		0.02	
3193.77		0.04		1.35		0.03	
3215.27		0.08		0.28		0.02	
3233.00		0.30		0.07		0.02	
3244.90		0.09		0.33		0.02	
3264.00		0.50		0.05		0.02	
3268.78		0.12		0.17		0.02	
3276.32		0.20		0.10		0.02	
3288.50		0.30		0.05		0.02	
3296.30		0.30		0.08		0.02	
3302.11		0.24		0.08		0.02	
3352.80		0.40		0.05		0.02	
3354.50		0.40		0.12		0.02	
3359.50		0.40		0.07		0.02	
3369.40		0.40		0.05		0.02	
3393.05		0.20		0.10		0.02	
3426.30		0.50		0.21		0.05	
3428.00		0.40		0.21		0.05	
3436.90		0.30		0.17		0.02	
3440.37		0.17		0.20		0.02	
3446.77		0.17		0.18		0.02	
3453.67		0.11		0.30		0.02	
3487.10		0.40		0.05		0.02	
3495.12		0.16		0.25		0.02	
3511.07		0.18		0.40		0.02	
3513.60		0.30		0.17		0.02	
3517.30		0.30		0.10		0.02	
3551.94		0.14		0.30		0.02	
3569.53		0.13		0.20		0.02	
3589.00		0.30		0.12		0.02	
3596.40		0.40		0.08		0.02	
3603.40		0.70		0.05		0.02	
3620.64		0.14		0.26		0.02	
3625.60		0.40		0.08		0.02	
3632.40		0.60		0.05		0.02	
3641.10		0.40		0.10		0.02	
3658.90		0.30		0.12		0.02	
3697.70		0.60		0.07		0.02	
3700.90		0.90		0.07		0.02	
3703.40		0.80		0.08		0.02	
3732.23		0.22		0.33		0.03	
3743.71		0.13		0.40		0.02	
3794.80		0.40		0.12		0.02	
3817.70		0.50		0.08		0.02	
3836.10		0.50		0.07		0.02	
3870.94		0.07		0.79		0.04	
3892.40		0.50		0.10		0.02	
3895.40		0.50		0.10		0.02	
3913.70		0.30		0.10		0.02	
3939.50		0.40		0.10		0.02	
3955.20		0.60		0.05		0.02	
3973.40		0.50		0.10		0.02	
3983.60		0.40		0.12		0.02	
4006.30		0.04		2.69		0.09	
4019.74		0.05		3.77		0.11	
4021.40		0.50		0.17		0.02	
4048.20		0.40		0.12		0.02	
4066.30		0.30		0.13		0.02	
4071.49		0.22		0.17		0.02	
4077.60		0.90		0.05		0.02	
4080.00		0.70		0.07		0.02	
4111.60		0.80		0.10		0.02	
4114.40		0.60		0.15		0.02	
4164.75		0.11		0.43		0.02	
4168.32		0.19		0.21		0.02	
4180.50		0.70		0.03		0.02	
4204.00		0.70		0.05		0.02	
4255.60		0.60		0.07		0.02	
4279.80		0.40		0.08		0.02	
4305.20		0.60		0.05		0.02	
4318.52		0.11		0.30		0.02	
4331.24		0.15		0.25		0.02	
4335.37		0.23		0.20		0.02	
4338.30		0.30		0.15		0.02	
4348.20		0.40		0.07		0.02	
4356.60		0.30		0.10		0.02	
4370.70		0.50		0.05		0.02	
4377.65		0.13		0.26		0.02	
4390.40		0.30		0.10		0.02	
4430.30		0.40		0.08		0.02	
4475.58		0.10		0.33		0.02	
4487.56		0.25		0.12		0.02	
4492.30		0.60		0.05		0.02	
4507.04		0.18		0.36		0.02	
4545.90		0.50		0.17		0.03	
4548.20		0.30		0.36		0.03	
4553.00		0.30		0.17		0.02	
4577.37		0.14		0.33		0.02	
4617.20		0.40		0.12		0.02	
4631.20		0.50		0.08		0.02	
4639.10		0.60		0.07		0.02	
4678.30		0.50		0.12		0.02	
4683.00		0.50		0.10		0.02	
4693.60		0.50		0.10		0.02	
4740.48		0.12		0.51		0.02	
4744.70		0.50		0.10		0.02	
4760.10		0.40		0.12		0.02	
4819.90		0.60		0.07		0.02	
4843.76		0.09		0.88		0.04	
4871.70		0.80		0.05		0.02	
4898.40		0.40		0.15		0.02	
4906.10		0.50		0.10		0.02	
4922.34		0.25		0.35		0.02	
