Thermal Neutron Capture Gammas — Target Nucleus 184W

Target Nucleus=184W
Strongest transition  Eγ=4572.64+-0.05 keV    %Iγ=6.37+-0.10
Eγ
(keV)
ΔEγ
(keV)
Iγ/Iγ(max)
(%)
Δ(Iγ/Iγ(max))
 
731.43		0.21		1.26		0.31	
732.30		0.30		2.83		0.63	
733.59		0.21		11.77		1.42	
738.50		0.20		0.94		0.16	
739.40		0.40		0.47		0.16	
744.33		0.05		20.41		4.72	
745.20		0.40		0.47		0.16	
756.76		0.04		27.47		0.90	
757.10		0.30		0.47		0.16	
761.00		0.40		2.98		1.10	
762.32		0.16		2.04		0.32	
767.80		0.00		0.31		0.16	
767.91		0.06		11.62		1.11	
773.50		0.60		0.47		0.31	
775.52		0.11		2.20		0.16	
778.60		0.50		0.47		0.16	
779.91		0.08		8.79		0.80	
789.80		0.50		2.51		0.79	
790.80		0.50		0.16		0.00	
792.60		0.30		0.47		0.16	
793.10		0.40		0.31		0.16	
795.20		0.50		0.47		0.16	
797.21		0.11		2.67		0.32	
799.08		0.20		1.10		0.31	
802.70		0.30		0.47		0.16	
803.30		0.30		0.94		0.16	
803.86		0.22		10.68		1.42	
804.70		0.30		0.47		0.16	
805.71		0.05		8.79		0.34	
809.20		0.30		0.63		0.16	
816.50		0.30		0.63		0.16	
816.71		0.08		0.63		0.16	
816.96		0.23		0.63		0.16	
817.20		0.40		2.83		0.94	
817.36		0.24		1.41		0.31	
822.77		0.05		46.31		1.07	
824.16		0.23		13.19		3.46	
824.40		0.50		0.31		0.00	
827.45		0.25		6.12		1.10	
828.20		0.40		2.83		0.94	
832.90		0.30		0.63		0.16	
835.70		0.50		0.16		0.00	
840.43		0.18		1.57		0.16	
843.03		0.20		1.10		0.16	
846.10		0.30		0.47		0.16	
846.90		0.40		0.16		0.00	
848.00		0.30		0.94		0.31	
850.21		0.20		0.16		0.00	
851.40		0.30		0.63		0.16	
854.20		0.00		0.31		0.00	
867.95		0.21		1.57		0.47	
870.03		0.08		5.81		0.33	
870.30		0.70		0.31		0.16	
872.07		0.05		10.05		0.65	
874.52		0.14		3.77		0.47	
875.30		0.40		0.16		0.00	
875.64		0.11		4.40		0.32	
876.20		0.50		0.31		0.16	
879.98		0.20		1.26		0.16	
881.00		0.40		1.10		0.31	
883.40		0.30		0.78		0.16	
883.50		0.30		4.24		0.63	
889.15		0.04					
891.59		0.15		1.26		0.16	
893.90		1.10		8.16		2.67	
894.10		0.40		0.63		0.31	
