Thermal Neutron Capture Gammas — Target Nucleus 182W

Target Nucleus=182W
Strongest transition  Eγ=6190.66+-0.10 keV    %Iγunknown
Eγ
(keV)
ΔEγ
(keV)
Iγ/Iγ(max)
(%)
Δ(Iγ/Iγ(max))
 
46.50		0.00					
97.91		0.12		1.83		0.40	
99.00		0.02		0.13		0.01	
99.09		0.01		34.71		2.71	
102.20		0.30		<0		.01	
103.06		0.12		1.54		0.68	
107.86		0.02		0.11		0.01	
107.93		0.01		32.79		2.56	
109.66		0.04		0.04		0.00	
109.74		0.01		10.67		0.91	
118.40		0.60		<0		.01	
126.00		0.50		<0		.01	
142.00		0.60		<0		.01	
142.24		0.02		1.35		0.30	
142.25		0.09		<0		.01	
144.10		0.15		<0		.01	
144.16		0.04		0.80		0.17	
153.80		1.90					
160.63		0.10		0.05		0.00	
160.67		0.02		7.02		1.22	
162.27		0.02		0.36		0.02	
162.32		0.01		63.46		7.66	
166.40		0.60		<0		.01	
171.60		0.30		<0		.01	
192.62		0.02		0.96		0.11	
192.65		0.07		<0		.01	
203.26		0.02		0.81		0.09	
203.28		0.05		<0		.01	
205.05		0.02		0.01		0.00	
205.09		0.01		1.92		0.22	
208.80		0.02		0.04		0.00	
208.81		0.01		5.19		0.42	
209.86		0.04		0.03		0.00	
209.88		0.01		3.08		0.26	
218.90		0.40		<0		.01	
221.70		0.30		<0		.01	
244.24		0.13		0.01		0.00	
244.26		0.02		1.63		0.13	
245.13		0.07		0.87		0.11	
245.20		0.50		<0		.01	
246.04		0.08		0.04		0.00	
246.06		0.02		5.19		0.42	
259.51		0.13		<0		.01	
259.66		0.09		0.31		0.05	
265.30		0.80		<0		.01	
265.36		0.08		0.22		0.04	
265.70		0.40		<0		.01	
268.00		0.30		<0		.01	
268.29		0.10		0.14		0.03	
278.98		0.11		0.12		0.03	
284.90		0.70		<0		.01	
286.60		0.50		<0		.01	
291.68		0.04		9.62		0.73	
291.71		0.02		0.09		0.01	
308.96		0.16		0.09		0.04	
310.00		0.00		<0		.01	
313.06		0.05		11.92		0.90	
313.15		0.02		0.11		0.01	
320.02		0.18		<0		.01	
320.97		0.08		0.71		0.06	
321.17		0.12		<0		.01	
325.30		0.30		0.07		0.03	
326.55		0.08		0.21		0.04	
326.80		0.60		<0		.01	
340.00		0.00		<0		.01	
344.19		0.14		0.12		0.04	
344.38		0.21		<0		.01	
347.70		0.80		<0		.01	
353.88		0.10		1.63		0.13	
354.00		0.02		0.02		0.00	
365.56		0.08		0.91		0.08	
365.61		0.05		<0		.01	
367.40		0.50		<0		.01	
371.59		0.16		0.12		0.03	
371.60		0.30		<0		.01	
373.20		0.80		<0		.01	
375.00		0.00		<0		.01	
384.00		0.30		<0		.01	
384.41		0.17		0.15		0.03	
388.00		0.00		<0		.01	
388.30		0.40		<0		.01	
388.31		0.20		0.10		0.03	
400.73		0.14		<0		.01	
400.86		0.25		0.28		0.03	
405.00		0.00		<0		.01	
406.00		0.00		<0		.01	
406.37		0.10		<0		.01	
406.50		0.30		<0		.01	
406.55		0.27		0.39		0.04	
406.55		0.27		0.39		0.04	
414.00		0.70		<0		.01	
416.08		0.05		0.01		0.00	
416.40		0.30		1.07		0.06	
417.50		0.90		<0		.01	
420.20		0.90		<0		.01	
420.30		0.30		0.21		0.03	
431.70		0.30		<0		.01	
448.00		0.00					
451.00		0.00		<0		.01	
452.09		0.20		<0		.01	
453.00		0.50		0.18		0.03	
459.20		0.70		<0		.01	
465.30		2.00		<0		.01	
467.50		0.90		<0		.01	
473.80		0.30		<0		.01	
473.90		0.50		0.20		0.03	
479.20		0.50					
480.30		0.50		0.20		0.03	
491.30		0.40		<0		.01	
491.90		0.50		0.11		0.03	
496.70		0.50		<0		.01	
522.40		0.50		<0		.01	
533.62		0.10		0.23		0.05	
533.78		0.22		<0		.01	
547.00		0.00					
553.30		1.80		<0		.01	
556.00		1.90		<0		.01	
559.20		1.60		<0		.01	
559.91		0.06		0.43		0.05	
560.08		0.17		<0		.01	
566.86		0.13		0.12		0.03	
567.10		0.30		<0		.01	
569.10		0.40		<0		.01	
571.10		0.50		<0		.01	
575.42		0.10		0.16		0.03	
575.90		0.30		<0		.01	
581.59		0.20		0.08		0.03	
581.70		0.50		<0		.01	
585.20		0.60		<0		.01	
587.11		0.09		0.28		0.04	
587.29		0.13		<0		.01	
591.03		0.17		0.10		0.03	
591.10		0.30		<0		.01	
593.00		0.70		<0		.01	
594.80		1.20		<0		.01	
598.90		0.60		<0		.01	
602.65		0.06		0.23		0.04	
602.71		0.16		<0		.01	
606.80		0.60		<0		.01	
611.61		0.06		1.44		0.13	
611.75		0.04		0.01		0.00	
615.00		0.00		<0		.01	
620.60		0.60		<0		.01	
