#ZVView-data-copy:   6-Feb-2012 13:45:14
#=======================================
#
#name:   ENDF/B-VII.0: GD-155(N,G)GD-156
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9789
#data...
#            X            Y
#          MeV        barns
    1.86157e-6      310.618
    1.86713e-6      328.163
    1.87269e-6      347.503
    1.87825e-6       368.87
    1.88381e-6      392.527
    1.88866e-6      415.259
    1.89487e-6      447.569
    1.89901e-6      471.331
    1.90315e-6      497.046
    1.90729e-6      524.868
    1.91143e-6      554.953
    1.91556e-6      587.448
    1.92143e-6      637.867
     1.9266e-6      686.837
    1.93178e-6      740.133
    1.93695e-6      797.739
    1.94212e-6      859.471
     1.9473e-6      924.929
    1.95599e-6      1041.35
    1.97047e-6      1240.02
    1.97627e-6      1314.52
    1.98206e-6      1382.13
    1.98593e-6      1421.99
    1.99144e-6       1469.9
    1.99558e-6       1497.8
    1.99947e-6      1517.04
    2.00324e-6      1528.82
     2.0075e-6      1533.74
    2.01219e-6      1528.74
    2.01711e-6      1512.07
    2.02124e-6      1489.42
    2.02538e-6      1459.58
     2.0298e-6       1420.7
    2.03587e-6      1357.36
    2.04166e-6      1288.88
     2.0527e-6      1146.82
    2.06436e-6      995.853
    2.07112e-6      913.648
    2.07788e-6       837.63
    2.08295e-6      785.268
    2.08802e-6      737.097
    2.09388e-6      686.634
    2.09828e-6      652.387
    2.10268e-6      621.096
    2.10854e-6      583.706
     2.1144e-6      550.893
    2.12027e-6      522.235
    2.12613e-6      497.313
    2.13199e-6      475.733
    2.13838e-6      455.622
    2.14527e-6      437.369
    2.15217e-6      422.296
    2.15907e-6      410.011
    2.16597e-6      400.186
    2.17287e-6      392.545
    2.17976e-6      386.862
    2.18666e-6       382.95
    2.19425e-6       380.51
    2.20132e-6      379.859
    2.21012e-6      381.077
    2.21891e-6      384.413
    2.22771e-6      389.776
     2.2365e-6      397.115
     2.2453e-6      406.423
    2.25551e-6      419.735
    2.26572e-6      435.841
    2.27593e-6      454.911
    2.28614e-6      477.183
    2.29671e-6      503.947
    2.30728e-6       534.93
    2.31433e-6      558.202
    2.32137e-6      583.802
    2.32842e-6      611.962
    2.33547e-6      642.957
    2.34251e-6      677.101
    2.34885e-6      710.826
     2.3552e-6      747.707
    2.36154e-6      788.098
    2.36788e-6      832.409
    2.37422e-6      881.108
    2.38056e-6      934.739
     2.3869e-6      993.932
    2.39325e-6      1059.42
    2.39906e-6      1125.69
    2.40487e-6      1198.71
    2.41069e-6      1279.35
     2.4165e-6      1368.58
    2.42231e-6      1467.54
    2.42777e-6       1570.5
    2.43306e-6      1680.51
    2.43834e-6      1801.93
    2.44363e-6      1936.09
    2.44891e-6      2084.42
     2.4542e-6      2248.44
    2.45948e-6      2429.73
    2.46477e-6      2629.87
    2.47005e-6      2850.38
    2.47534e-6      3092.61
    2.48062e-6       3357.6
    2.48538e-6      3616.04
    2.49014e-6       3893.4
    2.49648e-6      4291.57
    2.50282e-6      4719.15
    2.51191e-6      5371.37
    2.52671e-6      6461.83
    2.53361e-6      6940.63
    2.53953e-6      7312.83
    2.54545e-6      7634.78
    2.54968e-6      7826.58
    2.55391e-6      7981.69
    2.55673e-6      8062.93
    2.56186e-6      8162.21
     2.5657e-6      8193.83
    2.56699e-6      8196.05
    2.57166e-6       8168.8
    2.57617e-6      8090.78
     2.5804e-6      7973.39
    2.58463e-6      7815.97
    2.58886e-6      7622.09
    2.59449e-6      7314.33
    2.60013e-6       6960.8
    2.60859e-6      6371.25
    2.62592e-6       5090.1
    2.63198e-6      4658.72
    2.63804e-6      4249.19
     2.6441e-6      3866.34
    2.64886e-6       3586.4
    2.65361e-6      3325.25
    2.65837e-6      3082.94
    2.66313e-6      2859.12
    2.66788e-6      2653.12
    2.67158e-6      2504.65
    2.67581e-6      2346.88
    2.68004e-6      2201.07
    2.68427e-6      2066.43
     2.6885e-6      1942.15
    2.69272e-6      1827.45
    2.69695e-6      1721.57
    2.70118e-6      1623.78
    2.70576e-6       1526.2
    2.71069e-6      1429.94
    2.71562e-6      1341.94
    2.72056e-6      1261.39
    2.72549e-6      1187.53
    2.73042e-6      1119.71
    2.73535e-6      1057.32
    2.74029e-6      999.831
    2.74557e-6      943.143
    2.75121e-6      887.698
    2.75685e-6      836.898
    2.76248e-6      790.254
    2.76812e-6      747.341
    2.77376e-6      707.782
     2.7794e-6      671.244
    2.78785e-6      621.471
     2.7949e-6       584.07
    2.80194e-6      549.927
    2.80899e-6      518.678
    2.81604e-6      490.012
    2.82308e-6      463.655
    2.83013e-6      439.369
    2.83718e-6      416.945
    2.84422e-6        396.2
    2.85338e-6      371.476
    2.86254e-6      349.008
     2.8717e-6      328.529
    2.88086e-6      309.812
    2.89003e-6       292.66
    2.89919e-6      276.904
    2.90835e-6      262.398
    2.91751e-6      249.015
     2.9278e-6      235.182
    2.93809e-6      222.487
    2.94838e-6       210.81
    2.95867e-6      200.047
     2.9741e-6      185.418
    2.98954e-6      172.377
    3.00512e-6      160.602
    3.02099e-6      149.849
    3.03686e-6      140.185
    3.05273e-6      131.469
     3.0686e-6      123.584
    3.08447e-6      116.431
    3.10079e-6       109.75
    3.11711e-6      103.676
    3.13343e-6      98.1431
    3.14975e-6      93.0938
    3.16607e-6      88.4788
    3.18269e-6      84.1801
    3.20506e-6      78.9719
    3.22744e-6      74.3555
    3.24981e-6      70.2697
    3.27042e-6      66.9344
    3.28927e-6      64.2213
    3.30813e-6      61.8183
    3.32698e-6      59.7216
    3.34453e-6      58.0489
    3.36079e-6      56.7517
    3.37704e-6      55.7158
     3.3933e-6      54.9715
    3.40793e-6      54.5885
    3.41768e-6      54.5079
    3.43109e-6      54.6643
    3.44207e-6      55.0622
    3.45304e-6      55.7499
    3.46401e-6      56.7821
    3.47498e-6      58.2244
    3.48596e-6      60.1529
    3.49408e-6       61.943
    3.50221e-6      64.0775
    3.51034e-6      66.5847
    3.51847e-6       69.484
    3.52659e-6      72.7793
    3.53472e-6      76.4524
    3.54691e-6      82.5565
    3.57048e-6      95.1011
    3.58089e-6      100.082
    3.58869e-6      103.209
    3.59584e-6      105.443
    3.60235e-6      106.842
    3.60787e-6      107.504
    3.61242e-6      107.664
     3.6173e-6       107.44
     3.6238e-6      106.503
     3.6303e-6      104.864
    3.63681e-6      102.575
    3.64331e-6      99.7149
    3.65062e-6      95.9325
    3.65794e-6      91.6989
    3.67224e-6      82.7064
    3.68639e-6      73.7347
    3.69581e-6      68.0875
    3.70419e-6      63.4322
     3.7115e-6      59.6844
    3.71882e-6      56.2494
    3.72613e-6      53.1261
    3.73345e-6      50.3025
    3.74076e-6      47.7596
    3.74808e-6      45.4744
    3.75539e-6      43.4225
    3.76311e-6      41.4823
    3.77124e-6      39.6609
    3.77937e-6       38.037
     3.7875e-6      36.5842
    3.79969e-6      34.6765
    3.81188e-6      33.0378
    3.82407e-6      31.6167
    3.83626e-6      30.3729
    3.84845e-6      29.2747
    3.86471e-6      27.9945
    3.88096e-6      26.8839
    3.89885e-6      25.8183
    3.91835e-6      24.8047
    3.93786e-6      23.9156
    3.96712e-6      22.7653
     3.9951e-6      21.8263
    4.02309e-6      21.0107
    4.05107e-6      20.2949
    4.09344e-6       19.363
    4.13661e-6      18.5631
    4.17977e-6      17.8847
    4.22374e-6      17.2974
    4.26812e-6      16.7949
     4.3125e-6      16.3709
    4.37334e-6      15.9016
    4.43418e-6      15.5472
    4.49674e-6      15.2923
     4.5593e-6      15.1401
    4.62384e-6      15.0794
    4.68908e-6      15.1252
    4.75431e-6      15.2815
    4.82138e-6       15.554
    4.87169e-6      15.8374
    4.92294e-6      16.2074
    4.97467e-6      16.6728
    5.02639e-6      17.2371
    5.07958e-6      17.9303
    5.13277e-6      18.7587
    5.16822e-6      19.3981
    5.20468e-6      20.1374
