#ZVView-data-copy:   6-Feb-2012 13:46:10
#=======================================
#
#name:   ENDF/B-VII.0: GD-157(N,G)GD-158
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9231
#data...
#            X            Y
#          MeV        barns
         1e-11   9.69917e+6
    1.1024e-11   9.23787e+6
   1.21504e-11    8.7994e+6
   1.33946e-11   8.38093e+6
   1.47633e-11   7.98315e+6
    1.6275e-11   7.60354e+6
   1.79381e-11   7.24268e+6
   1.97749e-11   6.89831e+6
   2.17956e-11   6.57097e+6
   2.40274e-11   6.25857e+6
   2.64826e-11   5.96163e+6
   2.91943e-11   5.67824e+6
   3.21775e-11   5.40887e+6
   3.54723e-11   5.15181e+6
    3.9097e-11   4.90746e+6
   4.31005e-11   4.67428e+6
   4.75046e-11   4.45264e+6
    5.2369e-11   4.24112e+6
   5.77202e-11   4.04008e+6
   6.36306e-11   3.84823e+6
   7.01326e-11   3.66587e+6
   7.73139e-11   3.49186e+6
   8.52142e-11   3.32646e+6
   9.39398e-11   3.16863e+6
   1.03539e-10   3.01863e+6
   1.14141e-10   2.87549e+6
   1.25804e-10   2.73945e+6
   1.38686e-10   2.60965e+6
   1.52858e-10   2.48628e+6
    1.6851e-10   2.36857e+6
   1.85729e-10   2.25671e+6
   2.04747e-10   2.14998e+6
   2.25669e-10   2.04856e+6
   2.48777e-10    1.9518e+6
   2.74198e-10   1.85986e+6
   3.02275e-10   1.77215e+6
   3.33162e-10   1.68882e+6
   3.67277e-10   1.60933e+6
   4.04807e-10   1.53381e+6
   4.46258e-10   1.46179e+6
   4.91858e-10   1.39337e+6
   5.42223e-10   1.32813e+6
   5.97629e-10   1.26616e+6
   6.58824e-10   1.20708e+6
   7.26145e-10   1.15098e+6
   8.00501e-10    1.0975e+6
   8.82299e-10   1.04673e+6
   9.72643e-10       998339
    1.07203e-9       952415
     1.1818e-9       908662
    1.30256e-9       867151
    1.43594e-9       827617
    1.58267e-9       790124
    1.74474e-9       754433
    1.92302e-9       720601
    2.11993e-9       688414
    2.33655e-9       657922
    2.57581e-9       628931
    2.83901e-9       601487
    3.12972e-9       575415
    3.44953e-9       550756
    3.80275e-9       527352
    4.19133e-9       505240
     4.6205e-9       484277
    5.09264e-9       464498
    5.61412e-9       445772
    6.18779e-9       428124
     6.8214e-9       411432
    7.62451e-9       393517
    8.52217e-9       376745
    9.52551e-9       361046
     1.0647e-8       346357
    1.19005e-8       332597
    1.33016e-8       319665
    1.50745e-8       305959
    1.70869e-8       292925
    1.93643e-8       280392
    2.22549e-8       266667
    2.50875e-8       254624
       2.53e-8       253757
       3.14e-8       230097
    4.57208e-8       177135
    5.18146e-8       155529
    5.63256e-8       140389
    6.03892e-8       127571
    6.38452e-8       117363
     6.7499e-8       107306
    7.03691e-8      99948.4
    7.33755e-8        92751
    7.64955e-8      85821.5
    7.97636e-8        79131
    8.31552e-8      72771.1
    8.67078e-8      66705.2
    8.91544e-8      62858.1
    9.16701e-8      59164.6
    9.42567e-8      55627.1
    9.69163e-8      52246.6
    9.96509e-8      49023.3
    1.02463e-7      45956.2
    1.05354e-7      43043.5
    1.08327e-7      40282.6
    1.11383e-7        37670
    1.14526e-7      35201.9
    1.17758e-7      32873.8
     1.2108e-7      30680.9
    1.24497e-7      28618.2
     1.2801e-7      26680.3
    1.31622e-7      24861.9
    1.35335e-7      23157.4
    1.39154e-7      21561.2
    1.43081e-7      20067.9
    1.47118e-7        18672
    1.51269e-7      17368.2
    1.55537e-7      16151.2
    1.59926e-7        15016
    1.64439e-7      13957.8
    1.69078e-7      12971.9
    1.73849e-7      12053.9
    1.78755e-7      11199.7
    1.83798e-7      10405.4
    1.88985e-7      9666.63
    1.94317e-7      8979.37
      1.998e-7      8339.98
    2.05438e-7      7745.45
    2.11234e-7      7192.95
    2.17195e-7      6679.68
    2.23323e-7      6202.97
    2.29625e-7      5760.26
    2.36104e-7      5349.19
    2.42766e-7      4967.54
    2.49616e-7      4613.22
    2.56659e-7       4284.3
    2.63901e-7      3978.97
    2.71347e-7      3695.56
    2.79004e-7       3432.5
    2.86876e-7      3188.33
    2.94971e-7      2961.68
    3.03294e-7      2751.32
    3.11852e-7      2556.05
    3.20651e-7       2374.8
    3.29699e-7      2206.54
    3.39002e-7      2050.36
    3.48567e-7      1905.37
    3.58403e-7      1770.83
    3.68516e-7      1646.05
    3.78914e-7      1530.24
    3.89606e-7      1422.59
    4.00599e-7       1322.5
    4.11902e-7      1229.52
    4.23525e-7      1143.17
    4.35475e-7      1062.97
    4.47763e-7      988.485
    4.60397e-7      919.296
    4.73388e-7      855.023
    4.86745e-7      795.313
    5.00479e-7      739.837
    5.14601e-7      688.292
    5.29122e-7      640.396
    5.44051e-7      595.886
    5.59403e-7      554.521
    5.75187e-7      516.076
    5.91417e-7      480.341
    6.08105e-7      447.124
    6.25263e-7      416.245
    6.42906e-7      387.537
    6.61046e-7      360.847
    6.79699e-7       336.03
    6.98878e-7      312.957
    7.18597e-7      291.517
    7.38874e-7      271.593
    7.59722e-7      253.058
    7.81159e-7      235.772
      8.032e-7      219.689
    8.25864e-7      204.753
    8.49167e-7      190.864
    8.73127e-7      177.965
    8.97764e-7      165.991
    9.23096e-7       154.82
    9.49142e-7      144.414
    9.75924e-7      134.735
    1.00346e-6      125.734
    1.03178e-6      117.362
    1.06089e-6      109.578
    1.09082e-6      102.339
     1.1216e-6      95.6098
    1.15325e-6      89.3549
    1.18579e-6      83.5425
    1.21925e-6      78.1429
    1.25365e-6       73.129
    1.28903e-6      68.4754
     1.3254e-6      64.1592
     1.3628e-6       60.159
    1.40125e-6      56.4557
    1.44079e-6      53.0313
    1.48144e-6      49.8686
    1.52324e-6      46.9587
    1.56622e-6      44.2878
    1.61042e-6      41.8545
    1.65586e-6      39.6394
    1.70258e-6       37.631
    1.75062e-6      35.8368
    1.80002e-6       34.259
    1.85081e-6      32.9051
    1.88979e-6      32.0454
     1.9295e-6      31.3269
    1.97034e-6      30.7528
    2.01194e-6      30.3621
    2.05525e-6      30.1735
    2.07058e-6      30.1637
    2.09979e-6      30.2342
      2.129e-6      30.4318
    2.15904e-6      30.7838
    2.18908e-6      31.3053
    2.21996e-6      32.0462
    2.24312e-6      32.7617
    2.26672e-6      33.6536
    2.29054e-6      34.7461
    2.31435e-6      36.0647
    2.33884e-6      37.6998
    2.35517e-6       38.974
    2.37149e-6      40.4184
    2.38805e-6      42.0821
    2.40484e-6      44.0061
    2.42162e-6      46.2096
    2.43841e-6      48.7418
    2.45112e-6       50.913
