*XCOM:
*
*Constituents (Atomic Number : Fraction by Weight)
* Z=1	: 0.078762
* Z=6	: 0.821238
* Z=29	: 0.100000
*       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
*       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
*                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
*                                             FIELD    FIELD    SCATT.   SCATT.
*         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       1.000E+03 8.435E-11 3.757E-04 1.515E-08 1.744E-02 2.796E-03 2.061E-02 2.061E-02
       1.500E+03 3.749E-11 2.624E-04 1.010E-08 1.775E-02 2.891E-03 2.090E-02 2.090E-02
       2.000E+03 2.109E-11 2.031E-04 7.567E-09 1.792E-02 2.946E-03 2.107E-02 2.107E-02
       3.000E+03 9.372E-12 1.412E-04 5.044E-09 1.811E-02 3.006E-03 2.126E-02 2.126E-02
       4.000E+03 5.272E-12 1.090E-04 3.783E-09 1.821E-02 3.042E-03 2.136E-02 2.136E-02
       5.000E+03 3.374E-12 8.913E-05 3.026E-09 1.828E-02 3.064E-03 2.143E-02 2.143E-02
       6.000E+03 2.343E-12 7.557E-05 2.521E-09 1.832E-02 3.080E-03 2.147E-02 2.147E-02
       8.000E+03 1.318E-12 5.821E-05 1.891E-09 1.838E-02 3.100E-03 2.154E-02 2.154E-02
       1.000E+04 8.435E-13 4.753E-05 1.513E-09 1.841E-02 3.114E-03 2.157E-02 2.157E-02
       1.500E+04 3.749E-13 3.285E-05 1.009E-09 1.846E-02 3.132E-03 2.163E-02 2.163E-02
       2.000E+04 2.109E-13 2.526E-05 7.562E-10 1.849E-02 3.142E-03 2.166E-02 2.166E-02
       3.000E+04 9.372E-14 1.742E-05 5.041E-10 1.852E-02 3.152E-03 2.169E-02 2.169E-02
       4.000E+04 5.272E-14 1.337E-05 3.781E-10 1.854E-02 3.159E-03 2.171E-02 2.171E-02
       5.000E+04 3.374E-14 1.089E-05 3.025E-10 1.854E-02 3.162E-03 2.172E-02 2.172E-02
       6.000E+04 2.343E-14 9.203E-06 2.520E-10 1.855E-02 3.165E-03 2.173E-02 2.173E-02
       8.000E+04 1.318E-14 7.059E-06 1.891E-10 1.856E-02 3.168E-03 2.174E-02 2.174E-02
       1.000E+05 8.435E-15 5.741E-06 1.512E-10 1.857E-02 3.170E-03 2.174E-02 2.174E-02
