*XCOM: toluene
*
*Constituents (Atomic Number : Fraction by Weight)
*Z=1	: 0.087513
*Z=6	: 0.912487
*     PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
*      ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
*                                ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
*                                            FIELD    FIELD    SCATT.   SCATT.
*        (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
*
       8.000E+02 5.532E-11 4.640E-04 5.184E-10 1.312E-02 2.808E-03 1.639E-02 1.639E-02
       1.000E+03 3.540E-11 3.817E-04 4.148E-10 1.329E-02 2.874E-03 1.655E-02 1.655E-02
       1.500E+03 1.573E-11 2.666E-04 2.764E-10 1.355E-02 2.975E-03 1.679E-02 1.679E-02
       2.000E+03 8.849E-12 2.064E-04 2.073E-10 1.370E-02 3.032E-03 1.693E-02 1.693E-02
       3.000E+03 3.933E-12 1.435E-04 1.381E-10 1.385E-02 3.096E-03 1.709E-02 1.709E-02
       4.000E+03 2.212E-12 1.107E-04 1.036E-10 1.394E-02 3.133E-03 1.718E-02 1.718E-02
       5.000E+03 1.416E-12 9.057E-05 8.286E-11 1.399E-02 3.156E-03 1.724E-02 1.724E-02
       6.000E+03 9.830E-13 7.680E-05 6.904E-11 1.403E-02 3.173E-03 1.728E-02 1.728E-02
       8.000E+03 5.532E-13 5.915E-05 5.179E-11 1.408E-02 3.194E-03 1.733E-02 1.733E-02
       1.000E+04 3.540E-13 4.830E-05 4.144E-11 1.411E-02 3.208E-03 1.736E-02 1.736E-02
       1.500E+04 1.573E-13 3.338E-05 2.762E-11 1.415E-02 3.227E-03 1.741E-02 1.741E-02
       2.000E+04 8.849E-14 2.566E-05 2.072E-11 1.417E-02 3.238E-03 1.744E-02 1.744E-02
       3.000E+04 3.933E-14 1.770E-05 1.381E-11 1.420E-02 3.249E-03 1.746E-02 1.746E-02
       4.000E+04 2.212E-14 1.359E-05 1.036E-11 1.421E-02 3.256E-03 1.748E-02 1.748E-02
       5.000E+04 1.416E-14 1.107E-05 8.286E-12 1.422E-02 3.259E-03 1.749E-02 1.749E-02
       6.000E+04 9.830E-15 9.352E-06 6.904E-12 1.423E-02 3.263E-03 1.750E-02 1.750E-02
       8.000E+04 5.532E-15 7.173E-06 5.179E-12 1.423E-02 3.265E-03 1.750E-02 1.750E-02
       1.000E+05 3.540E-15 5.833E-06 4.143E-12 1.424E-02 3.267E-03 1.751E-02 1.751E-02
